smiles,n_train_rows,n_test_rows,train_targets,test_targets,same_target_in_both,train_activity_values,test_activity_values,train_activity_mean,test_activity_mean,delta_activity_mean,abs_delta_activity_mean,train_Score_values,test_Score_values,train_Score_mean,test_Score_mean,delta_Score_mean,abs_delta_Score_mean
COC1=CSC=C1C1=CN(C2CCC(=O)NC2=O)N=N1,1,1,CK1α,IKZF1,False,4,4,4.0,4.0,0.0,0.0,0.8,0.8,0.8,0.8,0.0,0.0
COC1=NC=C2C=C(C(=O)NC3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)C=CC2=C1,1,1,CK1α,IKZF2,False,3,3,3.0,3.0,0.0,0.0,0.5,0.6,0.5,0.6,0.09999999999999998,0.09999999999999998
COC1=NNC2=C(CN3CCCC3)C=C(C3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)N=C12,1,1,IKZF2,CK1α,False,4,4,4.0,4.0,0.0,0.0,0.666666667,0.8,0.666666667,0.8,0.13333333300000005,0.13333333300000005
NC1=C(C2=CC=C3C(=O)N(C4CCC(=O)NC4=O)CC3=C2)N=C2C=CC=CN12,1,1,CK1α,WEE1,False,3,3,3.0,3.0,0.0,0.0,0.6,0.6,0.6,0.6,0.0,0.0
NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC(C(F)(F)F)=C1,1,1,IKZF1,CK1α,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC1=CC(F)=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,1,1,SALL4,IKZF1,False,1,2,1.0,2.0,1.0,1.0,0.2,0.4,0.2,0.4,0.2,0.2
NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,14,1,CK1α; E4F1; GSPT1; IKZF1; IKZF2; PATZ1; SALL4; ZFP91; ZKSC5; ZNF276; ZNF582; ZNF653; ZNF654; ZNF827,ZNF517,False,0; 1; 0; 4; 1; 2; 1; 2; 3; 2; 3; 2; 1; 2,2,1.7142857142857142,2.0,0.2857142857142858,0.2857142857142858,0.0; 0.2; 0.0; 0.8; 0.2; 0.4; 0.2; 0.4; 0.6; 0.4; 0.6; 0.4; 0.2; 0.4,0.4,0.3428571428571429,0.4,0.057142857142857106,0.057142857142857106
NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,4,1,CK1α; GSPT1; IKZF1; IKZF3,SALL4,False,0; 0; 3; 3,0,1.5,0.0,-1.5,1.5,0.0; 0.0; 0.5; 0.5,0.0,0.25,0.0,-0.25,0.25
NC1=NN(C2COC2)C2=C(CN3CCCC3)C=C(C3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)N=C12,1,1,CK1α,IKZF2,False,2,3,2.0,3.0,1.0,1.0,0.266666667,0.5,0.266666667,0.5,0.23333333299999998,0.23333333299999998
NC1=NNC2=C(CN3CCC3)C=C(C3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)N=C12,1,1,IKZF2,CK1α,False,2,0,2.0,0.0,-2.0,2.0,0.333333333,0.0,0.333333333,0.0,-0.333333333,0.333333333
NC1=NNC2=C(CN3CCCC4(COC4)C3)C=C(C3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)N=C12,1,1,CK1α,IKZF2,False,2,3,2.0,3.0,1.0,1.0,0.2,0.5,0.2,0.5,0.3,0.3
O=C(/C=C/C1=CC=CC=C1)NC1=CC=C2C(=O)N(C3CCC(=O)NC3=O)CC2=C1,1,1,IKZF2,CK1α,False,3,3,3.0,3.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
O=C1CCC(N2C(=O)C3=C(C2=O)C(C2=C[C@@]2(COOCC(Cl)(Cl)Cl)C2=CC=C(Br)C=C2)=CC=C3)C(=O)N1,2,1,GSPT1; IKZF3,CK1α,False,1; 1,1,1.0,1.0,0.0,0.0,0.2; 0.2,0.2,0.2,0.2,0.0,0.0
O=C1CCC(N2C(=O)C3=C(C2=O)C(NC(=O)C2=CC=NO2)=CC=C3)C(=O)N1,8,1,E4F1; IKZF3; ZNF276; ZNF517; ZNF582; ZNF653; ZNF654; ZNF827,ZNF787,False,3; 3; 3; 3; 3; 3; 3; 3,3,3.0,3.0,0.0,0.0,0.6; 0.6; 0.6; 0.6; 0.6; 0.6; 0.6; 0.6,0.6,0.6,0.6,0.0,0.0
O=C1CCC(N2C(=O)C3=C(C2=O)C(NC(=O)C2=NC=CN=C2)=CC=C3)C(=O)N1,6,2,IKZF3; PATZ1; ZFP91; ZNF276; ZNF653; ZNF827,ZNF517; ZNF787,False,3; 3; 3; 3; 3; 3,3; 3,3.0,3.0,0.0,0.0,0.6; 0.6; 0.6; 0.6; 0.6; 0.6,0.6; 0.6,0.6,0.6,0.0,0.0
O=C1CCC(N2C(=O)C3=C(C2=O)C(NC(=O)C2CC2)=CC=C3)C(=O)N1,2,1,ZKSC5; ZNF276,ZNF582,False,3; 3,3,3.0,3.0,0.0,0.0,0.6; 0.6,0.6,0.6,0.6,0.0,0.0
O=C1CCC(N2C(=O)C3=C(C2=O)C(NC(=O)C2CCC2)=CC=C3)C(=O)N1,7,2,E4F1; ZKSC5; ZNF517; ZNF653; ZNF654; ZNF787; ZNF827,ZFP91; ZNF276,False,3; 3; 3; 3; 3; 3; 3,3; 3,3.0,3.0,0.0,0.0,0.6; 0.6; 0.6; 0.6; 0.6; 0.6; 0.6,0.6; 0.6,0.6,0.6,0.0,0.0
O=C1CCC(N2C(=O)C3=C(C=C(C4=CN=CC=C4)C=C3)C2=O)C(=O)N1,1,1,ZNF787,PATZ1,False,2,2,2.0,2.0,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0
O=C1CCC(N2C(=O)C3=C(C=C(NC(=O)C4=CC=CC=C4)C=C3)C2=O)C(=O)N1,2,1,ZNF654; ZNF787,IKZF3Q147E,False,2; 2,2,2.0,2.0,0.0,0.0,0.4; 0.4,0.4,0.4,0.4,0.0,0.0
O=C1CCC(N2C(=O)C3=C(C=C(NC(=O)C4=CC=NO4)C=C3)C2=O)C(=O)N1,1,1,ZNF787,IKZF3Q147E,False,2,2,2.0,2.0,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0
O=C1CCC(N2C(=O)C3=C(C=C(NC(=O)C4=NC=CN=C4)C=C3)C2=O)C(=O)N1,2,1,ZNF517; ZNF787,ZNF654,False,2; 2,2,2.0,2.0,0.0,0.0,0.4; 0.4,0.4,0.4,0.4,0.0,0.0
O=C1CCC(N2C(=O)C3=CC=C(C4=C[C@@]4(COOCC(Cl)(Cl)Cl)C4=CC=C(Br)C=C4)C=C3C2=O)C(=O)N1,2,2,CK1α; SALL4,GSPT1; IKZF3,False,1; 1,1; 2,1.0,1.5,0.5,0.5,0.2; 0.2,0.2; 0.4,0.2,0.30000000000000004,0.10000000000000003,0.10000000000000003
O=C1CCC(N2C(=O)C3=CC=C(C4=C[C@]4(C(=O)OCC(Cl)(Cl)Cl)C4=CC=C(Br)C=C4)C=C3C2=O)C(=O)N1,3,1,CK1α; IKZF3; SALL4,GSPT1,False,1; 1; 1,1,1.0,1.0,0.0,0.0,0.2; 0.2; 0.2,0.2,0.20000000000000004,0.2,-2.7755575615628914e-17,2.7755575615628914e-17
O=C1CCC(N2C(=O)C3=CC=C(CNC(=O)NC4=CC(Cl)=CC=C4)C=C3C2=O)C(=O)N1,1,1,IKZF1,GSPT1,False,2,4,2.0,4.0,2.0,2.0,0.4,0.8,0.4,0.8,0.4,0.4
O=C1CCC(N2C(=O)C3=CC=C(N4CC5(CNC5)C4)C=C3C2=O)C(=O)N1,3,2,ZNF276; ZNF653; ZNF787,ZFP91; ZNF827,False,3; 3; 3,3; 3,3.0,3.0,0.0,0.0,0.6; 0.6; 0.6,0.6; 0.6,0.6,0.6,0.0,0.0
O=C1CCC(N2C(=O)C3=CC=C(NC4CCCCC4)C=C3C2=O)C(=O)N1,3,1,ZNF653; ZNF654; ZNF787,ZNF276,False,3; 3; 3,3,3.0,3.0,0.0,0.0,0.6; 0.6; 0.6,0.6,0.6,0.6,0.0,0.0
O=C1CCC(N2C(=O)C3=CC=C(O)C=C3C2=O)C(=O)N1,4,1,IKZF1; IKZF3; SALL4; ZNF654,GSPT1,False,0; 0; 4; 3,1,1.75,1.0,-0.75,0.75,0.0; 0.0; 0.8; 0.6,0.133333333,0.35,0.133333333,-0.21666666699999998,0.21666666699999998
O=C1CCC(N2C(=O)C3=CC=CC(N4CCCC4)=C3C2=O)C(=O)N1,6,2,ZFP91; ZNF276; ZNF517; ZNF653; ZNF654; ZNF787,E4F1; ZNF582,False,3; 3; 3; 3; 3; 3,3; 3,3.0,3.0,0.0,0.0,0.6; 0.6; 0.6; 0.6; 0.6; 0.6,0.6; 0.6,0.6,0.6,0.0,0.0
O=C1CCC(N2C(=O)C3=CC=CC(N4CCCCC4)=C3C2=O)C(=O)N1,1,2,ZNF517,ZNF276; ZNF653,False,3,3; 3,3.0,3.0,0.0,0.0,0.6,0.6; 0.6,0.6,0.6,0.0,0.0
O=C1CCC(N2CC3=C(C=CC(CNC(=O)NC4=CC=CC=C4C4=CC=CC=C4)=C3)C2=O)C(=O)N1,1,1,GSPT1,IKZF1,False,3,3,3.0,3.0,0.0,0.0,0.6,0.6,0.6,0.6,0.0,0.0
O=C1CCC(N2CC3=C(C=CC(NC(=O)C4=CC=CC=C4)=C3)C2=O)C(=O)N1,2,1,CK1α; IKZF2,IKZF1,False,2; 3,3,2.5,3.0,0.5,0.5,0.2; 0.5,0.4,0.35,0.4,0.050000000000000044,0.050000000000000044
O=C1CCC(N2CC3=C(C=CC=C3C3=C[C@]3(C(=O)OCC(Cl)(Cl)Cl)C3=CC=C(Br)C=C3)C2=O)C(=O)N1,2,1,IKZF3; SALL4,GSPT1,False,3; 3,2,3.0,2.0,-1.0,1.0,0.6; 0.6,0.4,0.6,0.4,-0.19999999999999996,0.19999999999999996
O=C1CCC(N2CC3=CC(C4=CC(CN5CCCC5)=C5C=CNC5=N4)=CC=C3C2=O)C(=O)N1,2,1,CK1α; IKZF2,SALL4,False,4; 4,4,4.0,4.0,0.0,0.0,0.666666667; 0.8,0.666666667,0.7333333335000001,0.666666667,-0.06666666650000008,0.06666666650000008
O=C1CCC(N2CC3=CC(C4=C[C@@]4(COOCC(Cl)(Cl)Cl)C4=CC=C(Br)C=C4)=CC=C3C2=O)C(=O)N1,2,1,IKZF3; SALL4,CK1α,False,1; 3,2,2.0,2.0,0.0,0.0,0.2; 0.6,0.4,0.4,0.4,0.0,0.0
O=C1CCC(N2CC3=CC(CNC(=O)NC4=CC=CC=C4)=CC=C3C2=O)C(=O)N1,1,2,GSPT1,IKZF1; IKZF3,False,3,3; 3,3.0,3.0,0.0,0.0,0.6,0.6; 0.6,0.6,0.6,0.0,0.0
O=C1CCC(N2CC3=CC(NC(=O)C4=CC5=CC(Br)=CC(Br)=C5OC4)=CC=C3C2=O)C(=O)N1,1,1,IKZF2,CK1α,False,2,2,2.0,2.0,0.0,0.0,0.266666667,0.266666667,0.266666667,0.266666667,0.0,0.0
O=C1CCC(N2CC3=CC(NC(=O)C4=CC5=CC=C(C(F)(F)F)C=C5OC4)=CC=C3C2=O)C(=O)N1,1,1,IKZF2,CK1α,False,3,3,3.0,3.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
O=C1CCC(N2CC3=CC(NC(=O)CC4=CC=CC5=CC=CC=C45)=CC=C3C2=O)C(=O)N1,2,1,CK1α; IKZF1,IKZF2,False,3; 4,4,3.5,4.0,0.5,0.5,0.5; 0.8,0.8,0.65,0.8,0.15000000000000002,0.15000000000000002
O=C1CCC(N2CC3=CC(NCC4=CC=CC5=C4C=CN=C5)=CC=C3C2=O)C(=O)N1,1,1,IKZF2,IKZF1,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C1CCC(N2CC3=CC(NCCC4=CC5=CC=CC=C5C=C4)=CC=C3C2=O)C(=O)N1,1,1,IKZF1,IKZF2,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C1CCC(N2CC3=CC([C@H]4C[C@@]4(COOCC(Cl)(Cl)Cl)C4=CC=C(Br)C=C4)=CC=C3C2=O)C(=O)N1,1,1,SALL4,CK1α,False,2,2,2.0,2.0,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0
